text	label
The Finnish company claims to have over a quarter of a million contented Tulikivi fireplace business and homeowners worldwide	neutral
Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier	negative
In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009	neutral
Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people	neutral
In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts	neutral
55 workers in +m+l will be affected by the close-down	negative
The floor area of the Yliopistonrinne project will be 7,900 sq m 85,030 sq ft and the building 's gross area will total 12,800 sq m. A total 25.1 % of the facilities have been let	neutral
HKScan is one of the leading food companies in northern Europe with homemarkets in Finland , Sweden , the Baltic countries and Poland	neutral
Following the transaction , Tulikivi restructured its operations into the Soapstone Fireplaces Business , Natural Stone Product Business and Ceramic Products Business units	neutral
Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier	negative
The 3C Expo is a signature show in Dongguan , which is supported by the Dongguan Municipal Government every year , featuring computer accessories , software , communication and network products	neutral
Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008	positive
Chief Financial Officer Jim Heindlmeyer said Beyond Oblivion is in advanced talks with the four major recording companies about its service	neutral
Previously the company has estimated its operating profit to reach the level of 2005 only	positive
Ramirent Finland is the domestic unit of machinery rental company Ramirent Oyj HEL : RMR1V	neutral
Finnish Raisio ( Diagnostics ) is launching new DNA-based quick tests to ensure the safety of food	positive
In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares	neutral
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010	neutral
`` That 's a very high figure on the European scale , '' Noop said , recalling however that this also includes beer bought by Finnish tourists	neutral
BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 million , with an EBITDA of EUR 51 million	neutral
An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan	neutral
Decisions are to be made as quickly as possible	neutral
In addition , the company will reduce a maximum of ten jobs	negative
Operating profit for the 12-month period decreased from EUR5 .4 m while net sales increased from EUR62 .0 m , as compared to the financial year 2004	negative
The order also covers design services , hardware , software licences , as well as maintenance services over six years	neutral
Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007	positive
Currently the quarterly applied surcharges differ significantly from the actual market prices	neutral
Jon Risfelt is 49 years old holds a Master of Science in Chemical Engineering from the Swedish Royal Institute of Technology	neutral
Finnish and Swedish construction markets are still experiencing an estimated 4 % annual growth in 2008	positive
GyPSii service supports ten different languages including Korean and Russian	neutral
Implementation of the project will be carried out by the Finnish company YIT in association with the investment fund Evli Property Investment Russia ( EPI )	neutral
The decision to sell a share in Lenenergo was reached in line with Fortum 's strategic plans to invest mainly in generating assets in Russia , while Lenenergo is a grid company , the press release said	positive
H+kan Dahlstr+m , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014	positive
The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients	neutral
Kemira 's R&D organization comprises approximately 750 people , the company said	neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result	positive
Finnish IT consultancy Satama Interactive Oyj posted a net profit of 1.4 mln euro $ 2.0 mln for the first nine months of 2007 , compared to a net loss of 462,000 euro $ 664,000 for the same period of 2006	positive
Finnish Cargotec has been awarded a significant order for a total of 292 Hiab loader cranes by BAE Systems in the US	positive
Nokia said that its next generation mobile gaming platform makes it easy for people to find , buy , play and share rich and immersive games on a range of Nokia devices	neutral
GUANGDONG , October 26 , SinoCast -- Nokia Telecommunications Dongguan branch entered into a letter of intent to open a Nokia Class in Qingyuan Polytechnic , Qingyuan City of Guangdong Province	neutral
It is now the leading private road ambulance service company in Finland	positive
Return on capital employed rose by 4.8 percentage points to 19.6 %	positive
Finnish home decoration and arts and crafts retailer Tiimari Plc ( OMX Helsinki : TII1V ) reported on Monday ( 18 August ) an operating loss of EUR3 .3 m on net sales of EUR33 .9 m for the period January-June 2008	neutral
The transactions would increase earnings per share in the first quarter by some EUR0 .28	positive
CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008	neutral
The executive group will participate in the adjustments with a fixed-term 5 % salary cut	positive
Strong growth has continued also in China	positive
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003	neutral
Talvivaara also maintains its assumption of turning cash flow positive before the year end	positive
The orders also include a few high-power drives for the control of seismic compressors	neutral
Technopolis said before the protocol was signed that the techno-park would be built at a site covering more than six hectares in the Neudorf special economic zone and that it planned to invest 200 million euros in the project until 2009 inclusive	neutral
The policy was also aimed at making the companies more profitable and competitive	positive
com and possibly also through photo-msn	neutral
A total of 140 jobs will be reduced at the Raahe Steel Works	negative
In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3	negative
The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008	neutral
The E7 smartphone will be available for Rs35 ,000 per handset across India , '' Nokia India vice-president & managing director D Shivakumar told reporters	neutral
Finnish Rautaruukki 's engineering division Ruukki Engineering will re-organise its operations in the Mo i Rana plant in Norway	neutral
Finnish engineering and technology company Metso Oyj said on May 27 , 2008 it completed the acquisition of paper machinery technology from Japanese engineering company Mitsubishi Heavy Industries ( MHI ) for an undisclosed sum	positive
AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis	neutral
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives	positive
Finnish silicon wafers maker Okmetic Oyj said on September 17 , 2008 that it will invest a total of 15 mln euro $ 21.3 mln in its sensor wafer business	neutral
The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009	neutral
International sales rose by 59.8 % to EUR 1,244.4 mn	positive
The reductions will be implemented mainly in the course of the first half of 2009	neutral
Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks	neutral
In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 %	neutral
Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters	positive
According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy	positive
The company is now intensifying its smelter operations and increasing its annual production capacity to 230,000 tonnes of copper	positive
Ahlstrom 's 5,700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents	neutral
Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America	positive
The technology will become available to businesses from the fourth quarter , Nokia said	neutral
Finnish Bank of +land +landsbanken has issued a profit warning	negative
The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam	positive
The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003	neutral
The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007	neutral
In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water	neutral
Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million	positive
The copying , republication or redistribution of AFX News Content , including by framing or similar means , is expressly prohibited without the prior written consent of AFX News	neutral
The diesel margin has remained high	positive
The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008	neutral
Finnish Outotec has been awarded a contract to supply a new zinc roaster with gas cleaning and sulphuric acid plant for the OZK Kardzhali zinc smelter in Bulgaria	positive
Sanoma Magazines ' net sales are estimated to grow in 2006	positive
Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily	negative
Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur	neutral
The fair value of CapMan Plc 's own investments on 30 September 2008 amounted to MEUR 59.8	neutral
A light , bright and pretty addition to your life , it will also keep a few pennies in your bank account	neutral
EB will hold the exclusive rights to market the new entity 's product	neutral
The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP	neutral
ABN Amro Capital has agreed to sell its Helsinki-based designer homeware producer , Iittala Oyj , to crosstown consumer products group Fiskars Corp. , for EUR230 million to EUR235 million ( $ 310 million to $ 316 million )	neutral
The companies signed the letter of intent for the sale on 17 September 2010 and envisaged to seal the actual agreement on 1 January 2011	neutral
The event can also be viewed as a live webcast at www.cargotec.com	neutral
HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae	positive
Honka 's subsidiaries in France and Germany will also benefit by , for example , arranging customer events in conjunction with World Cup skiing competitions	neutral
Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed	neutral
Upgrades include a five megapixel camera , voice control , and what looks to be an optical mouse instead a D-pad -- an upgrade click-happy S60 has needed forever	positive
The contract has been allotted as per lowest price criteria	neutral
Nokia is requesting that the companies stop making and selling the mobile phones and pay monetary damages and costs	neutral
It is a solid credit that has been compared to a DZ Bank or a Rabobank	positive
The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland	neutral
No changes in media activity were seen in October compared with September	neutral
EPS for the quarter came in at 0.36 eur , up from 0.33 eur a year ago and ahead of forecast of 0.33 eur	positive
Among paper issues , Stora Enso R was little changed -- up 0.08 pct at 12.03 eur , UPM-Kymmene was 0.48 pct higher at 18.77 eur and M-real B added 0.50 pct to 3.99 eur	neutral
Its main business area , the Glass Machinery Group of Glaston Technologies , is the global market leader in glass processing machines	positive
The device offers multimedia performance along with a host of productivity applications , including live stock prices	neutral
On the other hand , Montevideo said that having the two mills working in the area will generate jobs	positive
At the moment , there are approximately 20 Vianor sales offices in Russia	neutral
Construction is scheduled to start in April-June 2007 and to be completed in early 2008	neutral
Financial details were not disclosed	neutral
Particular attention is being paid to energy efficiency in the construction of the building , as it is designed to meet the requirements of energy class B , and LEED certification will be applied for	neutral
Exel 's board of directors will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on April 19 , 2007	neutral
It has sold one half of its business operations and will enter the Helsinki Stock Exchange via the back door through an innovative buyout arrangement with Kasola	neutral
Also the development of online businesses will continue	neutral
Finnish plumbing and heating systems supplier Uponor Corporation ( OMX Helsinki : UNR1V ) said on Tuesday ( 12 August ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program	positive
In providing managed services , Nokia takes responsibility for building , operating and transferring as well as optimising the Indosat 3G network	neutral
Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share	neutral
Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference	positive
Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn	negative
For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m	positive
Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn	positive
The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China	positive
Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH	neutral
In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees	neutral
According to Finnish insurance companies Tapiola , Local Insurance Group ( L+hivakuutus ) , and Pohjola the two fierce storms at the end of July and in the beginning of August 2010 that felled trees around Finland have speeded up sales of forest insurance	positive
According to Finnish financial services group Sampo 's CEO , Bj+rn Wahlroos , Danish Danske Bank 's acquisition of Sampo Bank for EUR 4bn was the largest cash deal in Finland 's economic history	neutral
In beers , Olvi retained its market position	neutral
The board further said the company omitted to tender for a substantial part of the works and as such they had rightfully been found non-responsive by the evaluation team	neutral
When dialing in , the participants should quote 877417 as conference ID	neutral
`` We could be there	neutral
In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009	positive
SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million	positive
The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world	neutral
Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations	negative
Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before	negative
The chain is to unite 45-50 centres by the end of 2008	neutral
Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006	positive
Demonstrations of the broad capabilities of the Mobility Business Suite will be organized during the 3GSM World Congress in Barcelona , from February 12th to 15th	neutral
Z. Bavelloni 's long-standing MD , Dino Bavelloni , has retired at the end of 2005	neutral
Iggesunds Bruk in Sweden is one of the most advanced , fully integrated pulp and paperboard mills in the world	positive
Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business	positive
Liora 's got a brand-new bag	neutral
Under the plan , which CSES worked out together with Public Policy Management Institute ( PPMI ) and other partners , buildings with a total area of 10,000 square meters should be built on the territory in the first phase	neutral
Nordea Bank Estonia is part of the largest financial group in the Nordic countries	neutral
Most of the new substations support EDGE technology , which enables faster data traffic	neutral
Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments	neutral
Aho is proud of the company 's new product , Lordi-Cola	neutral
At the beginning of the subscription period on May 2 , 2006 the share subscription price under B option right is EUR 10.22 per share	neutral
Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options	neutral
`` They 've already allocated money for the inventory	neutral
Nokia Corp of Finland Tuesday said it has received a unified device managment contract with Finnish operator Elisa Oyj	neutral
South America and Asia are other promising markets	neutral
All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants	neutral
Kesko Agro Eesti , the retailer and wholesaler of grain , agricultural and warehousing machinery and accessories , had net sales of 81 million euros in 2007 , an increase by one-tenth over the preceding year	positive
Operating profit excluding restructuring costs grew to EUR 44.5 million from EUR 31.7 million while operating profit including restructuring costs showed even larger growth to EUR 38.5 million from EUR 7.4 million	positive
In February 2011 , new wording of Identity Documents Act that makes Mobile ID a state-approved electronic document as of February 1st 2011 entered into force	neutral
The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said	neutral
Jawad Williams scored 23 points in an impressive debut for Jerusalem , with Jason Rich adding 18 and Yuval Naimi chipping in with 16 points for Hapoel , which visits the yellow-and-blue next week	positive
The dividend will come on top of the 0.45 eur on A shares and 0.43 on K shares it has already paid on last year 's accounts	neutral
Only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to Durham	negative
The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses	neutral
The reorganisation will be carried out by transferring HKScan Corporation 's production-related property , plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy , a holding company wholly owned by HKScan Corporation	neutral
Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 %	negative
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008	negative
A broad range of connectivity options including 3G - HSPA and Wi-Fi gives consumers high speed access to the Internet	neutral
Orion Pharma 's operating profit increased by 42.5 % from 2004	positive
The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005	positive
Mr Clausen , however , refused to comment the option that Nordea would consider buying into Citadele Bank	neutral
F-Secure also point out the logical weakness in the sequenced numbers of a card approach that has apparently already been utilised	negative
TVO 's two-unit 1,740 MW Olkiluoto plant generated 14.2 TWh with an operating ratio across both reactors of 93.5 % , which the company described as `` high by international standards ''	neutral
It is a disappointment to see the plan folded	negative
Sampo Bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008	negative
Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland	neutral
The copying , republication or redistribution of AFX News Content , inculding by framing or similar means , is expressly prohibited without the prior written consent of AFX News	neutral
3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal	positive
Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros	positive
The agreement , which will cover monitoring , maintenance , server capacity service and backups , has a one-year extension option	neutral
A. Le Coq had a market share of 41.3 percent and rival beverage group Saku 32.1 percent	neutral
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production	neutral
Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008	negative
RAPALA TOURNAMENT FISHING : With all the major titles already out for the holidays , bargain-priced games such as Rapala aim for a smaller audience	neutral
The expanded agreement covers the sale , marketing and distribution of Benefon 's navigation and locator devices in China	neutral
Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said	negative
The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said	neutral
The parties have agreed to negotiate definitive distribution and license agreements by the end of June 2010	positive
( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland	positive
UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions	positive
The Company said that previously EB delivered a custom solution for LG Electronics and now is making it commercially available for other mobile terminal vendors as well as to wireless operators	neutral
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format	neutral
So Mr. Galvan made savings adjustments of his own , buying less liquor and watching portion sizes	neutral
The 2500-passenger ferry will have dimensions of 185 m length overall , 170 m length between perpendiculars , 27.70 m breadth and 6.55 m design draught	neutral
This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody	positive
ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced	neutral
Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008	negative
The Group 's consolidated net sales for 2008 totaled 3.4 billion euros and it employs approximately 13,000 persons	neutral
FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions	neutral
As a part of the plan , the Board of Directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to Aspo Management Oy , a holding company acquired by the management	neutral
`` I see my new post as an inspiring challenge	neutral
Finland-based companies , L+nnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia	neutral
The number of permanent reductions of clerical workers is 22 employees , of which 19 in Finland	negative
Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company	neutral
is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland	positive
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand	neutral
The oil shale feeder-supply solution will deliver crushed oil shale to the shale oil refinery already in operation as well as to the novel Enefit-280 shale oil technology processing plant	neutral
The production capacity can be tripled without any major additional investments , the company said	positive
The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network	neutral
Dragonfly Love is another video shot from start to finish using the Nokia N8	neutral
The company did not distribute a dividend in 2005	neutral
Elisa will expand the use of this technology provided the pilot proves successful	neutral
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35	neutral
zip , '' experts warned Tuesday	neutral
Construction volumes meanwhile grow at a rate of 10-15 percent annually	positive
It holds 38 percent of Outokumpu 's shares and voting rights , but in 2001 lawmakers gave it permission to reduce the stake to 10 percent	neutral
Several large stocks tacked lower , however	negative
Okmetic 's silicon wafers are part of a further processing chain that produces end products that improve human interaction and quality of life	neutral
The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet	negative
The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services	neutral
Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States	positive
`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said	negative
`` Our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment	neutral
On Wednesday he announced that the government would propose granting a licence for two reactors , one to be built by Fennovoima , and the other by TVO	positive
SWOT analysis is just one method of categorization and has its own weaknesses	neutral
According to the announcement of the Helsinki Stock Exchange the share of Sentera shall be delisted from the NM-list of the Helsinki Stock Exchange accordingly	neutral
In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008	negative
The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights	neutral
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539	neutral
The Kyroskoski investment is to be completed in late 2011 and the ++nekoski investment in the spring of 2012	neutral
TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population	positive
Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006	neutral
The StoneGate product is centrally manageable and suited for both physical and virtual environments	neutral
Pohjola could increase its stake to 45 % in 2013	neutral
The compnay also said that it would lower the price of development projects by about one third compared with last November	neutral
The guidance has been set at 90 basis points over mid-swaps , the report said	neutral
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier	positive
Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden	positive
TeliaSonera s subsidiary , the mobile operator EMT in Estonia , has created a world s first mobile identification service which makes it possible to vote via a mobile phone	neutral
SCOPI Chief Business Excellence Officer , Eng	neutral
Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i	neutral
Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping	positive
The company is owned by the State of Finland and the European Aeronautic Defense and Space Company EADS N.V. Tekla is an international software company that provides solutions for building and construction , energy distribution and municipalities	neutral
According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn	neutral
Nokia and Capcom announced that Resident Evil Degeneration will be released on N-Gage later this year	neutral
The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009	positive
The building will house product development and test laboratories	neutral
The non-recurring costs caused to Talentum 's Premedia business area by the restructuring will amount to 2.0 mln euro $ 2.7 mln and will be included in the company 's financial results for the second quarter of 2007	neutral
The Finnish paints company acquired the remaining 49 pct that it did not own from Ukraine 's LGU for an undisclosed sum	neutral
Nokia bought Chicago-based Navteq in 2008 , acquiring a maps database to compete with Google s maps as well as with navigation device companies such as TomTom NV and Garmin Ltd.	positive
Production is scheduled to start by the end of April 2007	neutral
Scanfil expects net sales in 2008 to remain at the 2007 level	neutral
The acquisition of Kaupthing Sverige will bring a significant positive non-recurring addition to the group 's performance	positive
The ongoing project where Tekla Structures is being used is the Vashi Exhibition Centre being developed by Insteel Engineers Pvt Ltd-IIVRCL Infrastructures & Projects Ltd & CIDCO	neutral
The sale price was not disclosed	neutral
Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November	positive
Central Europe is an important market area for Honka	neutral
